RNA;nom;sigle;description;etat;dateDeValidationStatuts;siege;liste_activites;contact_adresse;contact_cp;contact_ville;site_web;anneeCreation
W332002923;Assoencore;EN.CO.RE;Promotion & valorisation des savoir-faire dans les domaines de l'art, la culture et l'entrepreneuriat.  Promouvoir la coopération entre la Région Nouvelle Aquitaine et l'Afrique par le renforcement des capacités  des coopératives de femmes pour une meilleure autonomie. Formation de la jeunesse par le numérique.;Validée;2001-11-29;Bordeaux;"Accompagnement à l'insertion professionnelle;Arts plastiques;Autres activités pour la vie de quartier;Littérature";1 place Saint Christoly;33000;Bordeaux;http://www.assoencore.fr;2001
W332001678;Pupilles Enseignement Public Gironde;Les PEP 33;"Actions de complémentarité avec l'Ecole en mettant en avant les valeurs essentielles : Laïcité, citoyenneté et solidarité.
Les PEP 33 gèrent 5 établissements et services au bénéfice des écoles et élèves de la maternelle au lycée, des familles et actuellement des jeunes mineurs non accompagnés.";Validée;1926-04-16;BORDEAUX;"Autres activités d'entraide et de solidarité;Patrimoine;Soutien scolaire";70 rue du château d'eau;33000;BORDEAUX;http://www.lespep33.org;1926
W332022133;K{art}MA;;"K{art}MA est une association proposant divers ateliers autour des arts plastiques s’adressant aux structures accueillant des enfants, adolescents et adultes.
Elle a pour dessein la sensibilisation des différents publics aux arts plastiques en suscitant la stimulation créative.
Nous proposons des ateliers Manga, Stop-Motion, Sculpture, Peinture, Histoire de l'art...";Validée;2017-06-26;bordeaux;Arts plastiques;chez Gregory Charruyer 61 rue Camille Sauvageau;33800;BORDEAUX;http://www.kartma.fr;2017
W332000764;Chant Libre;;Production et diffusion du spectacle vivant lyrique, théâtral et chorégraphique mélant différents arts de la scène;Validée;2017-01-10;Bordeaux;Classique;62, rue Hortense;33100;Bordeaux;http://www.chant-libre.org/;1996
W691076588;Les Surprises;;Promouvoir la musique sous toutes ses formes, du baroque au contemporain;Validée;2010-05-26;Bordeaux;Classique;24 Rue Stéhélin;33200;Bordeaux;;2010
w332000366;Foyer Fraternel;FFCS;Centre social CAF, EAJE ( Etablissement Multi accueil -Halte Garderie,  Organisme de formation et d'insertion socio-professionnelle. Activités relevant de l' éducation Populaire, Association humanitaire (Vêtements, accueil de jour, CAIO).;Validée;2017-05-02;BORDEAUX;"Autres activités jeunesse et vie étudiante;Crèches;Activités péri et extra scolaires";23, rue Gouffrand;33300;BORDEAUX;http:/www.centresocial-foyerfraternel.fr;1951
W332019495;Pratikable;Ptk;L'association Pratikable a pour but de valoriser et promouvoir le handicap à travers les sports de glisse et les sports à sensation.;Validée;2018-01-24;Artigues-près-Bordeaux;Skate-board;13 Rue Charles Perrault;33370;Artigues-près-Bordeaux;http://www.pratikable.com/;2017
W332016214;ESSplicite;;ESSplicite a pour but de sensibiliser et développer la connaissance du secteur de l’Economie Sociale et Solidaire auprès des jeunes, notamment les étudiants et lycéens, des universités et lycées de Bordeaux. L'association fédère les formations d'études supérieures: Scinces Po Bordeaux, IFAID, Université de Bordeaux;Validée;2018-02-05;Pessac;"Associations étudiantes;Développement de la citoyenneté";11 Allée Ausone;33600;Pessac;;2013
W332019308;Association Parlecouter;PARLECOUTER;Enseigner l'apprentissage d'outils de communication bienveillante et respectueuse, basés sur l'écoute active, profonde et sans jugement, sur le développement de l'empathie, pour une meilleure compréhension de l'autre et de soi. L'association vise à créer des conditions favorables à l'éducation et l'accompagnement des enfants / adolescents, à instaurer des relations plus sereines en famille et en société.;Validée;2015-11-10;Bordeaux;Accompagnement à la parentalité;11 rue du Palais Gallien, Appt A314;33000;Bordeaux;;2015
W322002571;Association Habilitée des Jeunes Sapeurs Pompiers de la Benauge;AHJSP Benauge.;"L'association a pour but : de regrouper des jeunes à partir de 12 ans, ayant une aptitude médicale qui ne présente aucune contre indication à la pratique du sport, en vue de développer leur esprit de solidarité, de dévouement ainsi que leur sens civique ; de les préparer, par des cours théoriques, pratiques et activités sportives aux épreuves du brevet national de JSP ; de faciliter leur recrutement ultérieur";Validée;2012-11-12;BORDEAUX;"Autres activités éducatives;Formation, formation continue, apprentissage";1 rue de la Benauge;33100;BORDEAUX;http://www.jsp-bordeauxbenauge.fr;2006
w332015691;Bordeaux Hatha Yoga et bien être;;Une rencontre avec le Yoga, la méditation, la relaxation (Yoga Nidra), la philosophie Indienne  pour adultes, seniors, femmes enceintes, adolescents et maternelles.;Validée;2013-06-28;Bordeaux;Autres activités de bien-être;43 Rue Judaïque;33000;Bordeaux;http://www.bordeaux-hatha-yoga-bien-etre.com;2013
W332023062;Les ateliers vivre zen;;"Animation d'atelier DIY autour du bien-être et des produits naturels .
Apprenez à fabriquer vos produits de beautés, ménagés ou divers objets autour de l'écologie ! découvrez les vertus des plantes ...";Validée;2018-02-01;BORDEAUX;Autres activités de bien-être;7 RUE JOSEPH BRUNET;33300;BORDEAUX;;2018
W332016804;Art Saint Aug;A.S.A.;Activités artistiques et animations culturelles relatives aux arts plastiques;Validée;2014-03-17;BORDEAUX;Arts plastiques;68 RUE EMILE COMBES;33000;BORDEAUX;http://www.artsaintaug.fr;2014
W332001147;Association Accompagnement Coopérer Afrique;ACA2;Cette association a pour objectif principal le développement des soins palliatifs et de l’accompagnement bénévole dans les pays du continent africain, dans une dynamique de réciprocité et d’autonomie. Cette association a notamment pour objectif secondaire le soutien de programmes et de structures spécifiques de soins palliatifs et d’accompagnement bénévole.;Validée;2018-03-19;BORDEAUX;Aide humanitaire;207 COURS BALGUERIE;33300;BORDEAUX;;2018
W332014853;Maison des Adolescents de la Gironde;MDA33;Espace destiné à l'Accueil, l'écoute, l'accompagnement, l'orientation des jeunes de 11 à 25 ans, de leur entourage proche ainsi que des professionnels. Gratuit, anonyme et confidentiel.;Validée;2012-12-27;BORDEAUX;Autres activités jeunesse et vie étudiante;5 Rue Duffour Dubergier;33000;BORDEAUX;http://www.mda33.fr;2012
W332001257;Association Girondine d'Education spécialisée et de Prévention sociale;AGEP;L’Association a pour objet d’assurer auprès des enfants et de leurs parents toute aide ou action éducative nécessitée par la prévention, l’élucidation et le traitement des difficultés d’ordre psychologique, éducatif et social. Elle procède, soit de sa propre initiative, soit à la requête de l’autorité judiciaire, des administrations et organismes ou des professionnels compétents, soit à la demande des familles.;Validée;2010-05-27;BORDEAUX;Accompagnement à la parentalité;60 Rue de Pessac;33000;BORDEAUX;http://agep.asso.fr;1954
W332021752;AvoirUnPcGratuit;A1PcG;L'association A1PcG, basée à Mérignac 33700, récupère tous vos composants informatique, PC portable, bureau, particulier, professionnel, entreprise & association, nous les remettons en état pour les mettre à disposition aux personnes démunies gratuitement !;Validée;2018-01-03;Mérignac;Collecte, distribution;Mr Barateau;33703;Mérignac Cedex;http://www.a1pcg.fr;2017
w751149396;Association PourQuoiPas 33;Apqp;Pourquoipas 33 est une association culturelle qui à travers les projets et événements qu’elle organise, s’appuie sur les valeurs de fraternité, de citoyenneté, d’égalité et de laïcité. Elle est partie prenante de la Fédération Française pour l’UNESCO et mène des actions pour partager ses idéaux.;Validée;2017-06-10;Bordeaux;Autres activités de citoyenneté;153 rue Georges Mandel;33000;Bordeaux;;2002
W332015488;Théâtre en Miettes;;Le Théâtre en Miettes a pour objet la promotion et le développement de la création théâtrale, la diffusion et l'animation culturelle dans un but d'éducation populaire. Avec 4 domaines d'interventions (Compagnie Théâtrale, École de Théâtre, Centre de formation professionnelle, salle de spectacle), le Théâtre en miettes couvre de manière transversale ses objectifs d'actions et d'éducations culturelles.;Validée;2013-06-15;BORDEAUX;"Théâtre;Formation, formation continue, apprentissage";40 rue Joséphine;33300;BORDEAUX;http://www.theatreenmiettes.fr/BPJEPS.htmll;1978
W332002706;Centre Psychanalytique de Consultations et de Traitement Aquitaine;CPCT;Gestion des centres psychanalytiques de consultations et de traitement.;Validée;2006-12-02;Cenon;Autres activités de santé;3 rue Aristide Briand;33150;Cenon;;2006
W332009928;Roller Derby Bordeaux Club;RDBC;Club de Roller Derby : pratique, entraînements, compétitions & Promotion de la pratique du roller quad.;Validée;2010-01-13;bordeaux;Roller;28 rue jean descas;33000;bordeaux;;2009
W332013481;Académie Younus;YNU;"L'Académie Younus a pour objectif :
- de promouvoir, d'encadrer et de coordonner la pratique du sport, des activités artistiques, culturelles et éducatives, prioritairement auprès de publics fragilisés.
- de participer à toutes les actions favorisant l'épanouissement personnel, la cohésion sociale, la réussite scolaire et professionnelle des jeunes.";Validée;2017-09-22;Bordeaux;"Football;Autres activités éducatives";49 rue Pierre Trébod;33300;Bordeaux;https://www.academie-younus.com;2012
W332014328;FMI Créativité _ Ambassade de la Vie Locale;FMIC - AVL;"En résumé, notre projet  ouvre la porte ""aux semeurs de pépites d'humanité"" pour ...
...  seconder associatifs, particuliers et entrepreneurs dans la réussite de leurs projets et à faire équipe lors des difficultés ou des choix stratégiques.
... mettre à disposition des services utiles au soutien et à la réussite  (gérer les comptes et le personnel, administrer, communiquer, tenir des fichiers,...).";Validée;2012-06-19;BORDEAUX;"Autres activités pour l'emploi, l'insertion professionnelle, la formation;Démocratie participative, action locale;Autres activités pour la vie de quartier";LA RUCHE;33000;BORDEAUX;https://ambassadevielocale.wordpress.com;2012
W332023126;EM-France Sud-Ouest;EMFSO;"Compostage urbain (Bokashi)
Promotion et diffusion des Micro-organismes Efficaces (EM), alliés naturels des agriculteurs et des éleveurs pour un environnement sain et régénéré. 
Initiation à la permaculture.";Validée;2018-02-09;BORDEAUX;Ressourceries, recyclage;c/o LABB - Athénée Père Joseph Wresinski - BàL 12;33000;Bordeaux;http://www.em-france.org;2018
W332021482;Accueil et Insertion des Migrants et Exilés;AIME;L'association AIME (Accueil et Insertion des Migrants et Exilés) a pour vocation d'aider les migrants qui le souhaitent à suivre une formation universitaire. Dans ce cadre, l'association AIME oriente, forme au Français Langue Etrangère avec l'objectif d'atteindre le niveau B2 exigé pour l'inscription et met en relation des étudiants bénévoles avec les migrants pour assurer un pont social.;Validée;2017-03-06;BORDEAUX;Accueil des étrangers, des réfugiés;Chez Université de Bordeaux;33076;BORDEAUX;http://reseau-aime.fr/;2017
W332023021;Mam'an les ti'bateaux;;L’objet de l’association de maison d’assistant(e)s maternel(le)s est le suivant : création, ouverture et gestion d'une maison d'assistant(e)s maternel(le)s (MAM) avec un projet de mixité dans l'accueil d'enfants non porteurs de handicaps âgés de deux mois et demi à quatre ans et d'enfants porteurs de handicaps ou atteints d'une maladie chronique âgés de deux mois et demi à six ans.;Validée;2018-06-15;Bordeaux;Encadrement, garde d'enfant;06 Place Philippe Lebon;33300;Bordeaux;;2017
W332002317;Swingtime Bordeaux;;Née en 2006 de la rencontre de passionnés du jazz et du blues, l’association Swingtime Bordeaux a pour objectif de faire connaître au plus grand nombre les danses et la musique swing authentique. Elle a aussi pour objectif de créer une véritable scène swing de danseurs à bordeaux, se réunissant pour pratiquer et échanger dans l’état d’esprit d’ouverture et de créativité des années 1920 /1930.;Validée;2006-11-23;Bordeaux;Du monde;14, Pierre Noguey;33000;Bordeaux;http://www.swingtime.fr/;2006
W751218849;Emmaüs Connect;EC;"Emmaüs Connect accompagne les publics en précarité sociale et numérique vers les opportunités du numérique, en lien avec les professionnels de l’action sociale. 
L’association agit via un réseau de terrain pour accompagner ses bénéficiaires (tremplins et formations, accès solidaire à l’équipement et à la connexion, médiation avec les opérateurs téléphoniques...).";Validée;2013-03-16;Paris;"Aide à la personne;Formation, formation continue, apprentissage";38, cours des Aubiers;33800;Bordeaux;http://emmaus-connect.org;2013
w332004001;association des angolais de bordeaux;AAB;"Créer une synergie autor des problèmes sociaux ,culturels et économiques par l'accueil;Diffuser la langue Portugaise et les langues natives de l'Angola Umbundu,Kimbundu....; Favoriser une meilleure connaissance mutuelle entre l'Angola et la France ; Cours de danse traditionnelles Angolaises ; Organisation de manifestations culturelles , théâtre ,spectacles, récitals,expositions conférences.";Validée;2018-04-28;Bordeaux;"Capoeira;Aide aux personnes en situation difficile (violences, maltraitance, discrimination, etc.)";12 Avenue des 40 Journaux;33300;Bordeaux;;1994
W332020423;Hélios Evenements;O S G;"Cette association a pour but de promouvoir et de développer les pratiques musicales : par la production de spectacles vivants les ""Mini concerts'' comprenant la participation de l’orchestre symphonique de Gironde et de son activité de diffusion d’artistes ; par l’édition de supports informatifs et pédagogiques ; par l’organisation d’actions de formation musicale en favorisant les pratiques amateurs";Validée;2017-09-11;Bordeaux;Classique;2 rue Frédéric Bastiat;33100;Bordeaux;http://orchestresymphoniquedegironde.fr/;2016
W332000338;Artisans du Monde Bordeaux;ADM;Promouvoir le commerce équitable afin de permettre aux producteurs de pays ou régions défavorisés de vivre dignement de leur travail et être acteur de leur développement. Permettre aux consommateurs d'être informés sur les dysfonctionnements du commerce international. Contribuer à changer les mécanismes du commerce international.;Validée;1996-04-09;Bordeaux;Autres activités d'entraide et de solidarité;30 rue du Parlement Saint Pierre;33000;Bordeaux;http://admbordeaux.org/;1996
W332001836;Le Planning Familial 33;;Le Planning Familial est un mouvement féministe et d’éducation populaire. Il œuvre pour les droits à l’éducation à la sexualité, à la contraception, à l’avortement, à l’égalité entre les femmes et les hommes, les filles et les garçons et lutte contre toutes les discriminations, le sexisme et les violences de genre.;Validée;2014-06-17;Bordeaux;"Vie politique, mouvement d'opinion;Droits des femmes;Aide aux personnes en situation difficile (violences, maltraitance, discrimination, etc.);Autres activités éducatives;Développement de la citoyenneté;Accueil et information pour la contraception et l'avortement;Promotion de la santé";19 Rue Eugène Le Roy;33800;Bordeaux;https://www.planning-familial.org/fr/le-planning-familial-de-gironde-33;1963
W332008236;Union Sportive les Chartrons Maison de Quartier;U.S.C.;"Sports Loisirs et Culture- L'association dite « Union Sportive les Chartrons » fondée en 1908, a pour but de créer entre toutes les personnes membres du club, une association sportive et culturelle regroupant diverses sections et activités.
L'association est labellisée Maison de Quartier par la Ville de Bordeaux.
Elle propose une trentaine d'activités sportives, culturelles et d'animation sur Bordeaux Maritime.";Validée;2009-12-14;BORDEAUX;"Aïkido;Boxes;Basket-ball;Football;Futsal;Hockey en salle;Muaythaï et disciplines associées;Pilates;Tennis;Badminton;Tennis de table;Gymnastique volontaire;Qi Gong;Step;Renforcement musculaire;Taï Chi Chuan;Randonnée pédestre;Contemporaine;Modern jazz;Contemporaine;Arts plastiques;Autres jeux;Eveil multisports;Centres de loisirs;Activités péri et extra scolaires";5 rue Lucien FAURE;33300;BORDEAUX;http://www.uschartrons.com/;1908
W332015689;Association cultuelle israélite de la Gironde;ACIG;Association cultuelle gérant le culte israélite dans la région sudouest Protection et Entretien du patrimoine Organisations événements visites guidées ( audioguides en 5 langues ) concerts expositions;Validée;2013-06-18;Bordeaux;Jumelages, communautés;213 rue sainte Catherine;33000;Bordeaux;https://www.synagogue-bordeaux.com;1903
W332016952;Latino Mex Bordeaux;LMB;Diffuser, partager et faire découvrir la culture, les traditions, les festivités et les coutumes de l’Amérique Latine, en particulière la culture mexicain, à travers des événements festifs et culturels. Aider les ressortissants latino-américains arrivant à Bordeaux à s’intégrer socialement et culturellement dans la société française. Soutenir et promouvoir la création d’entreprises latino-américaines.;Validée;2018-02-02;Bordeaux;Cultures régionales;255, Rue Mandron;33000;Bordeaux;;2014
W332016784;Croq Vacances Aquitaine;CVA;Notre association a pour objet d’offrir aux enfants et adolescents dans le cadre de leurs loisirs en vie collective, un épanouissement physique et moral, ainsi qu’un enrichissement culturel, par la pratique ludique d’activités physiques, sportives et culturelles, proposées dans un but éducatif, récréatif et de découverte, grâce à une pédagogie à la fois variée et adaptée à chaque âge.;Validée;2018-05-01;BORDEAUX;Associations de quartier;50 rue du Tauzin;33000;BORDEAUX;http://www.croqvac.fr/;2000
W332005349;Association pour la Réadaptation et l'Intégration;ARI;L’association a pour but d’accompagner des personnes en situation de handicap psychique ou porteuses de TSA, en leur fournissant, ainsi qu’à leur famille, l’aide thérapeutique, socio-éducative et sociale susceptible de favoriser leur insertion sociale et professionnelle.(...) Conformément à ses buts, l’association assure la gestion technique, administrative et financière d’établissements et de services.;Validée;2015-04-14;BORDEAUX CEDEX;Aide à la personne;261 avenue Thiers;33015;BORDEAUX CEDEX;https://www.ari-accompagnement.fr;1985
W332017905;Les Briz Carro;;"Association de promotion de la mosaïque comme technique de recyclage, les Briz' Carro ont pour but de : développer et valoriser la récupération des matériaux (verre, carrelage, assiettes et autres céramiques) ; populariser la technique de la mosaïque, permettant la réutilisation de ces verres et céramique, même endommagés ; proposer un loisirs enrichissant et créateur de lien";Validée;2019-09-07;Bordeaux;Bricolage, jardinage, décoration;126 rue Belleville;33000;Bordeaux;http://www.brizcarro.com;2014
W332004557;Les P'tits Gratteurs;;L’association Les P’tits Gratteurs anime l’espace public de Bordeaux Sud depuis 2001. Elle organise tout au long de l’année, en lien avec les acteurs culturels et sociaux du territoire, des animations et événements culturels et de loisirs, gratuits et ouverts à tous.;Validée;2014-07-16;Bordeaux;"Musiques actuelles;Autres jeux;Autres activités pour la vie de quartier";3 rue de Tauzia;33800;Bordeaux;http://lesptitsgratteurs.fr/;2001
w332012259;Théâtre la Lucarne;;Situé à Bordeaux, dans le quartier Saint-Michel, le théâtre La Lucarne a été créé par la compagnie théâtrale L'Oeil après diverses pérégrinations dans les quartiers Saint-Jean, Saint-Pierre et à l'Entrepôt Lainé. Proposant 70 places, le théâtre accueille chaque année de nombreuses représentations de la compagnie théâtrale L'Oeil mais également d'autres compagnies invitées.;Validée;2015-04-11;Bordeaux;Théâtre;3 rue Beyssac;33800;Bordeaux;http://theatre-la-lucarne.com/;1992
W332011380;La Clé du Quai;CDQ;"Mettre en mouvement ! Fondée en 2010, La Clé Du Quai est une association qui a pour but de partager avec ses adhérents la passion du théâtre, de la danse-théâtre et de la danse contemporaine, à travers ses cours et ses stages ; la création de sa compagnie professionnelle ; l'organisation de son Festival ""Le Bruit des Corps"" ; et la gestion du ""Tchaï"", son café associatif culturel,  lieu de vie et de rencontres.";Validée;2016-07-05;Bordeaux;"Contemporaine;Théâtre;Autres activités pour la vie de quartier";49 rue du Mirail;33000;Bordeaux;http://www.lacleduquai.com;2010
W332022361;Académie karaté yoga Bordeaux Bastide;;Association ayant pour but de promouvoir l'enseignement du karaté-do, du handi-karaté et du hatha-yoga pour tous mais aussi pour les futures mamans et les enfants, par le biais de l'activité physique sportive et du bien-être.;Validée;2017-09-29;Bordeaux;"Karaté et disciplines associées;Yoga";17 rue Calvimont;33100;Bordeaux;http://www.hathayogasimplifie-bordeaux.fr;2017
W332001334;Centre Accueil Consultation Information Sexualité;CACIS;Dans une démarche d’éducation populaire, le CACIS se donne pour finalité de permettre à toute personne, jeune ou adulte, de trouver les moyens de vivre sa sexualité dans notre société et d’agir contre toute forme d’exclusion liée à la santé, à la sexualité et au genre.;Validée;2012-03-22;Bordeaux cedex;Promotion de la santé;Place de l'Europe;33030;Bordeaux cedex;http://cacis-pro.fr;1981
W332004956;Habitats Jeunes le Levain;;Créer, entretenir et développer un ou des centres d’accueil et d’hébergement à Bordeaux et dans la Métropole, pour les jeunes en contrat d’apprentissage, travailleur(ses), en formation, demandeurs(ses) d’emploi, étudiants(es).;Validée;2012-12-19;Bordeaux;Autres activités jeunesse et vie étudiante;33 rue Paul Louis Lande;33000;Bordeaux;http://www.habitatsjeuneslelevain.org;1958
W332000529;Les ateliers libres d'Aquitaine;;Lieu de création artistique ayant comme support l'argile en pratiquant des tarifs permettant au plus grand nombre d'y accéder. Accueil de groupes d'institutions, de centre d'animation, etc. La pratique du modelage et sculpture sur argile est encadrée par une animatrice compétente. L'ensemble de l'équipe et des adhérents ont à cœur de faire perdurer l'esprit du fondateur (M. Roger François).;Validée;1982-03-02;Bordeaux;Sculpture, peinture;9 rue Fernand Philippart;33000;Bordeaux;https://atelierslibres.wixsite.com/atelierslibres;1975
W332013532;Act'Image;;L’association Act'Image a pour objectif de promouvoir la création photographique, de développer des actions culturelles liées à la photographie et de favoriser sa diffusion. Les actions mises en places permettent d’alimenter le dispositif culturel du territoire afin de le valoriser et de permettre aux citoyens de trouver un épanouissement culturel au travers de la photographie.;Validée;2017-03-15;Bordeaux;Photos;72, rue Emile Fourcand;33000;Bordeaux;http://www.act-image.fr;2012
W332017047;Fonda Sud Ouest;;"La Fonda Sud Ouest est une association qui en Nouvelle-Aquitaine s'efforce de faire vivre les idées et les débats qui traversent le monde associatif. Espace d'échanges et de réflexions, la Fonda Sud Ouest regroupe celles et ceux qui trouvent intérêt à pouvoir de temps à autre faire ""un pas de coté"" et approfondir des questions aussi variées que celles relatives à la gouvernance des associations, la prospective.";Validée;2005-10-17;Bordeaux;"Autres activités de citoyenneté;Droit associatif";29 rue de la Paix;33200;Bordeaux;https://fonda.asso.fr/la-fonda-sud-ouest;2005
W332016476;Magik'Hôpital;;Magik’Hôpital, créée en 2014, à Bordeaux, avec le soutien du Lions Club de Bordeaux-Mérignac, a pour objectif de faire oublier, durant quelques instants, l’angoisse et la souffrance aux enfants hospitalisés grâce à des tours de magie conçus par des magiciens bénévoles.;Validée;2018-04-24;Bordeaux;Détente;319 cours du Maréchal Gallieni;33000;Bordeaux;https://www.magikhopital.fr;2014
w332001497;Association BOARD-O;;Promotion et développement du skateboard sous toutes ses formes.;Validée;2017-02-20;Bordeaux;Skate-board;81 quais des chartrons;33300;Bordeaux;http://www.boardo.fr;2004
W332020020;Entraide & Entrepreneurs;E & E;Soutien bénévole apporté aux entrepreneurs en difficulté dans le but d'éviter les procédures collectives, les pertes d'emploi et de savoir faire. Ils sont accompagnés par un coach spécialisé pour retrouver leur potentiel décisionnel et par un parrainage technique et logistique afin que leur activité soit sauvegardée dans sa pérennité et son intégrité.;Validée;2016-03-22;Bordeaux;Création et développement d'activités;9 rue de Condé;33000;Bordeaux;http:/www.eefrance.fr;2016
W332008797;Association des MAlades et Transplantés Hépatiques du Sud-Ouest;AMATHSO;L'association a pour but de sensibiliser le public sur les maladies hépatiques, la réalité de la transplantation et la solution qu'elle apporte dans certaines affections. De diffuser une information sur toutes les maladies hépatiques et de faire prendre conscience de l'importance de la prévention, du dépistage et de la vaccination pour ce qui concerne les hépatites. Sensibiliser l’opinion au don d'organes.;Validée;2011-08-01;Bordeaux Cédex;Accompagnement des patients;Hôpital du Haut Lévêque - Avenue Magellan;33604;Pessac;http://www.amathso.org/;1991
W332005605;Esprit de quartier;;"Créée en janvier 2008, l'association Esprit de quartier a pour objectifs de :
> Réfléchir et agir sur la qualité de vie du quartier Bordeaux Chartrons - Grand Parc - Jardin Public
> Permettre la rencontre entre voisins
> Être à la recherche du « bien vivre ensemble »
> Améliorer notre « qualité de ville » en proposant des actions collectives";Validée;2008-02-09;Bordeaux;Associations de quartier;12 rue Vandebrande;33300;Bordeaux;http://www.espritdequartier.fr;2008
W332012089;Association Culturelle Franco Péruvienne Tayta;Tayta.;Cette association a pour but de faciliter les échanges culturels et bilatéraux, notamment au niveau gastronomique, entre Pérou  et la France, voir l’Europe, en diffusant les différents expressions et manifestations, ainsi rapprocher les membres des deux cultures avec le but de générer une meilleure intégration et /ou compréhension mutuelle. Facebook : https://www.facebook.com/TaytaBordeaux/;Validée;2016-10-25;BORDEAUX;Patrimoine;35 RUE DUBPURDIEU;33800;BORDEAUX;;2011
